user_id,recipe_id,date,rating,review
38094,38,2/17/2003,4,Great with a salad. Cooked on top of stove for 15 minutes.Added a shake of cayenne and a pinch of salt.  Used low fat sour cream.  Thanks.
1293707,38,12/21/2011,5,"So simple, so delicious! Great for chilly fall evening. Should have doubled it ;)<br/><br/>Second time around, forgot the remaining cumin. We usually love cumin, but didn't notice the missing 1/2 teaspoon!"
8937,38,12/1/2002,4,This worked very well and is EASY.  I used not quite a whole package (10oz) of white chips.  Great!
126440,38,2/27/2010,5,I made the Mexican topping and took it to bunko.  Everyone loved it.
57222,39,10/1/2011,5,"Made the cheddar bacon topping, adding a sprinkling of black pepper. Yum!"
52282,40,5/21/2005,4,very very sweet. after i waited the 2 days i bought 2 more pints of raspberries and added them to the mix. i'm going to add some as a cake filling today and will take a photo.
124416,40,8/6/2011,0,"Just an observation, so I will not rate.  I followed this procedure with strawberries instead of raspberries.  Perhaps this is the reason it did not work well.  Sorry to report that the strawberries I did in August were moldy in October.  They were stored in my downstairs fridge, which is very cold and infrequently opened.  Delicious and fresh-tasting prior to that, though.  So, keep a sharp eye on them.  Personally I would not keep them longer than a month.  This recipe also appears as #120345 posted in July 2009, which is when I tried it.  I also own the Edna Lewis cookbook in which this appears."
2000192946,40,5/10/2015,2,"This recipe was OVERLY too sweet.  I would start out with 1/3 or 1/4 cup of sugar and jsut add on from there.  Just 2 cups was way too much and I had to go back to the grocery store to buy more raspberries because it made so much mix.  Overall, I would but the long narrow box or raspberries.  Its a perfect fit for the recipe plus a little extra.  I was not impressed with this recipe.  It was exceptionally over-sweet.  If you make this simple recipe, MAKE SURE TO ADD LESS SUGAR!"
76535,40,9/2/2005,4,Very good!
273745,40,12/22/2005,5,Better than the real!!
353911,40,9/26/2006,5,"Absolutely AWESOME! I was speechless when I tried them. I've never had such juicy melt-in-your-mouth chicken made AT HOME!

I would, however, suggest to reduce the amount of flour. 2 cups was overkill for me. "
190375,40,3/9/2007,5,These taste absolutely wonderful!!  My son-in-law loves them and requests them often! I followed the recipe exactly.  Thanks so much for posting this recipe.
468945,40,2/20/2008,0,"Made my own buttermilk w/ vinegar and milk.  Used defrosted fresh skinless/boneless chicken fillets.  3 lbs.
This mix is extremely flavorful and its light .  I didnt do the bbq thing, but while I cooked homemade to go w/ this I put the chicken in the oven to keep warm and served bbq dipping sauce.  10 stars from my kids !"
255338,40,4/11/2008,5,"First time using liquid smoke in a recipe. Made this as directed. My kids enjoyed this, so we will make this again. Thank you for posting."
1171894,41,4/21/2009,5,"MMMMM! This is so good! I actually soaked the chicken in chicken bouillon first, and it made it super flavorful. I use Sweet Baby Ray's bbq sauce (DH's favorite), and cut chicken into nuggets instead of strips. This makes a good amount, so you could really freeze some and reheat in oven later. Those were our plans, but it was so good that it didn't make it to the ziploc bag!"
136726,41,11/25/2006,5,"I used this mix to make meat balls.Very simple to put together.  I made a batch to put in the freezer too. I find meatballs are really handy to have around just add sauce and cheese for pasta meal or appetizer or for subs or snack.  These turned out to be very good I did add some garlic, but other than that I followed the recipe. The cinnamon in this added something to this that sets it apart from most meatball recipes I tried. Thanks for posting."
68960,43,12/19/2006,4,"We really enjoyed this and so did both my young daughters. For this recipe I decided my crockpot would be perfect. I basically followed the recipe exactally except instead of adding the flour to the onions, I made a mix of flour, salt and pepper in a bag and then tossed the lamb to coat before browning. I added the spices to the onion/garlic to toast them slightly before deglazing with stock. Because I used the crockpot I cut the stock back to about 1/2 - 3/4 cup and used all the canned tomatoes. I added the canned chickpeas about an hour before serving.  This ended up cooking in the crockpot on low for about 6-7 hours. Served with Recipe #96875 this is a fabulous, filling family meal. Thank you for posting."
618928,45,10/17/2007,4,this is an excellent got 'lamb and a tin of chickpeas what should I cook' recipe. I used our slow cooker too. I made it for 4-5 people ( so 680grms lamb).I followed the recipe but used a can of tomatoes and alittle stock ( maybe 1/4 cup) and transfered the simmered tomatoes to the lamb waiting in the slow cooker. On low for about 5-6 hrs perfect!
217118,45,4/18/2008,5,"This was a lovely Morrocan style dish. I halved the recipe and made it on the stove top like a stew. I added a bit more stock to keep it from drying out. I left off the parsley and/or cilantro, didn't have any. Served with some warm pita type flat breads. I have a VERY picky Husband that even enjoyed this dish."
2000049093,45,3/8/2015,5,"I love lamb stew and usually make an Irish version with potatoes, celery, carrots, onions or something close.  Now and then I&#039;m looking for a change of pace.  Using this recipe as a basis this turned out a really tasty and healthy lamb stew.   I plan to alternate this with the Irish style.  Mmm.  

I used the canned tomatoes, chickpeas, onion, garlic, also a little celery, a jalapeno pepper, and diced-up carrot and malanga root.  Used cumin, cinnamon, ginger, rosemary,  and cloves as well as salt and pepper.  Nice peppy flavor.

Looks great as well, if I get the camera working hope to send a picture."
202555,48,6/20/2007,5,"My husband has just found out that he had to cut down on fat. He..like a lot of Okies is a solid meat and potato guy. 
It has been really hard to find things that he likes to eat but this recipe fit the bill. Has a wonderful flavor and we didn't miss the beef at all with this.
I would highly recommend!!!"
353579,48,8/14/2007,5,"Very good, made with ingredients I usually have.  I didn't want to heat up my kitchen, so I did the final cooking in the microwave, which worked just fine.  Thanks for posting!"
635209,49,11/6/2007,4,"Thought this was a great Core recipe.  My 79-year-old mom loved it too.  I did multiply the proportions x 3 or 4 so I could use whole cans of beans/Ro-tel tomatoes.  Also just added whole egg to the topping due to time and it was very good, but probably not as light as with egg white. I also was out of chicken broth and just used water and upped the seasonings; and used part shredded chicken and part canned chicken breast.  I made it spicy and served it with fat-free sour cream on top.  A winner!!"
681408,49,3/14/2008,0,This is a very good recipe.  We also want to cut back on the fat content in our diet . Very tasty dish!!!
684460,49,1/18/2009,5,We really liked this recipe - something different with chicken is always good to find.  The topping is really good - the kids thought it looked like a twinkie.  They really liked it; even if it wasn't a giant twinkie.
900992,49,2/19/2009,3,"The ""cornbread"" on top is bland. I'd us a real cornbread recipe and put it on top instead."
135017,49,9/29/2007,5,"I am extremely picky about my crockpot recipes (don't like most). This one was great! I made a half-recipe with 1 lb. of pork chops. Because my crockpot tends to burn meat (it's old, with the element on the bottom), I put the fruit mixture in first, then put the chops on top. I then spooned some of the fruit mixture on top of the meat. While at work I remembered I forgot to halve the wine (hee hee) but they still turned out just fine. Thanks, lazyme!
P.S.  I forgot to note that I did not do the cornstarch part and it was fine -- it made a juicy gravy that was nice with the mashed potatoes I also made.  Also, I did not have fresh cranberries and used a scant 1/2 cup of craisins instead, and that was fine, too.  It's all good, lazyme!"
224088,49,10/21/2007,4,"Pork + fruit + crockpot = awesome.

A very good recipe!  Like the other reviewer, we used only about a pound of pork chops, had to sub dried cranberries and didn't bother with the cornstarch.  I didn't really chop things up, just quartered and cored the apples and threw the dried apricots in wholeâ€”everything cooked down to bits. I also skipped the wine.  The apricots and cranberries provided a very intense, rich taste that went great with the pork.  Thanks for the recipe!"
582223,49,12/9/2007,5,really good my 18 month old loved it and she's really picky. I wasn't sure what type of wine to use so I used red. Thanks for the recipe!
1413963,49,10/15/2009,5,One word says it all . Delicious!!!
483827,49,7/15/2008,5,Being a  huge fan of America's Test Kitchen  I just had  to try this and I am  sure glad I did. It is really good. Sweet  corn is  just  coming in season here  and I have  chives in my herb garden so I had all the  best ingredients. I did  use a Jalapeno from the  garden instead of the  habanero. I  just made this and I plan to have it with some chicken. I'll  bet you could use some nice peaches to change it up a bit.      Thanks for posting .
